# TEST CONFIGURATION BEGIN
# File Stream: filename: elec1.csv  -  n_targets: 1
# [M0] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 500 - max_samples: 100000 - max_time: 1000000000 - output_file: result_elec.csv - batch_size: 3 - pretrain_size: 2000 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
2000,1.000000,1.000000,1.000000,1.000000
2003,1.000000,1.000000,1.000000,1.000000
2006,1.000000,1.000000,1.000000,1.000000
2009,0.916667,0.916667,0.000000,0.000000
2498,0.714571,0.714000,0.411261,0.409559
2999,0.789421,0.864000,0.563382,0.717889
3497,0.810667,0.854000,0.617422,0.706837
3998,0.831084,0.892000,0.645087,0.679723
4499,0.828137,0.816000,0.631859,0.561813
4997,0.829333,0.836000,0.631488,0.630091
5498,0.817481,0.748000,0.606503,0.462320
5999,0.813093,0.782000,0.600660,0.556117
6497,0.814444,0.826000,0.604956,0.638296
6998,0.814837,0.818000,0.604543,0.603202
7499,0.809342,0.754000,0.594276,0.508000
7997,0.814000,0.866000,0.610292,0.726887
8498,0.818182,0.868000,0.622969,0.733785
8999,0.823622,0.894000,0.636576,0.787476
9497,0.822533,0.808000,0.635863,0.619621
9998,0.825272,0.866000,0.643053,0.730880
10499,0.827923,0.870000,0.650117,0.735333
10997,0.829667,0.860000,0.653448,0.711483
11498,0.830860,0.852000,0.654682,0.660301
11999,0.827135,0.756000,0.647519,0.515419
12497,0.827524,0.836000,0.649183,0.673572
12998,0.827198,0.820000,0.649563,0.638287
13499,0.828899,0.866000,0.653569,0.734321
13997,0.832750,0.920000,0.661891,0.839342
14498,0.830574,0.778000,0.657416,0.548369
14999,0.827027,0.738000,0.649373,0.404740
15497,0.824000,0.746000,0.642405,0.419136
15998,0.816513,0.616000,0.626168,0.136489
16499,0.815887,0.798000,0.624284,0.556660
16997,0.813667,0.750000,0.618108,0.259935
17498,0.811367,0.742000,0.612246,0.367026
17999,0.813648,0.884000,0.617409,0.768134
18497,0.813879,0.818000,0.616754,0.546017
18998,0.817423,0.934000,0.623417,0.852219
19499,0.814707,0.722000,0.618304,0.450019
19997,0.813667,0.774000,0.616604,0.547551
20498,0.808551,0.626000,0.606708,0.256142
20999,0.807441,0.768000,0.604448,0.529068
21497,0.808103,0.834000,0.604456,0.546666
21998,0.807260,0.774000,0.601703,0.432845
22499,0.807482,0.818000,0.601660,0.595627
22997,0.804000,0.658000,0.594105,0.304177
23498,0.801219,0.684000,0.587173,0.164905
23999,0.796837,0.610000,0.577528,0.157303
24497,0.797022,0.806000,0.576985,0.524211
24998,0.794705,0.690000,0.572077,0.349002
25499,0.793975,0.760000,0.570580,0.502694
25997,0.794417,0.816000,0.571499,0.615982
26498,0.795559,0.850000,0.573345,0.659450
26999,0.795376,0.786000,0.573078,0.559352
27497,0.794039,0.726000,0.570614,0.448168
27998,0.793354,0.758000,0.568543,0.434685
28499,0.792695,0.760000,0.566385,0.413191
28997,0.791963,0.754000,0.564422,0.447439
29498,0.790989,0.738000,0.561809,0.392190
29999,0.791479,0.818000,0.562871,0.620972
30497,0.791158,0.772000,0.561687,0.474800
30998,0.790662,0.762000,0.560289,0.469072
31499,0.788930,0.690000,0.556322,0.312943
31997,0.787100,0.676000,0.552703,0.338279
32498,0.785974,0.718000,0.550245,0.401365
32999,0.785143,0.734000,0.548979,0.465176
33497,0.783587,0.684000,0.545866,0.349419
33998,0.782132,0.690000,0.542461,0.317926
34499,0.780721,0.690000,0.540092,0.379205
34997,0.779273,0.686000,0.536605,0.283759
35498,0.778753,0.744000,0.534922,0.408503
35999,0.778925,0.790000,0.535087,0.569220
36497,0.777681,0.692000,0.532142,0.323505
36998,0.778149,0.810000,0.532816,0.578078
37499,0.775787,0.610000,0.528282,0.308197
37997,0.773750,0.630000,0.524433,0.327937
38498,0.772527,0.686000,0.522857,0.398117
38999,0.772202,0.748000,0.523156,0.499563
39497,0.770693,0.660000,0.521352,0.308853
39998,0.771822,0.858000,0.525028,0.689196
40499,0.772168,0.798000,0.526465,0.600917
40997,0.773282,0.860000,0.529786,0.704696
41498,0.773651,0.802000,0.531452,0.589130
41999,0.774436,0.836000,0.533391,0.672089
42497,0.774889,0.808000,0.534546,0.614303
42998,0.774664,0.758000,0.534739,0.523247
43499,0.774372,0.750000,0.534229,0.493040
43997,0.774881,0.818000,0.534755,0.553922
44498,0.774405,0.736000,0.533628,0.441634
44999,0.774755,0.804000,0.534447,0.603200
