# TEST CONFIGURATION BEGIN
# File Stream: filename: wea1.csv  -  n_targets: 1
# [M0] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 500 - max_samples: 100000 - max_time: 1000000000 - output_file: result_poker.csv - batch_size: 3 - pretrain_size: 2000 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
2000,1.000000,1.000000,1.000000,1.000000
2003,1.000000,1.000000,1.000000,1.000000
2006,0.666667,0.666667,0.000000,0.000000
2009,0.750000,0.750000,0.000000,0.000000
2498,0.706587,0.706000,0.000000,0.000000
2999,0.731537,0.756000,0.000000,0.000000
3497,0.718667,0.692000,0.043544,0.099478
3998,0.728136,0.756000,0.137734,0.347677
4499,0.736211,0.768000,0.185554,0.355613
4997,0.731333,0.706000,0.201987,0.253656
5498,0.732077,0.738000,0.212655,0.278316
5999,0.733133,0.740000,0.239599,0.377156
6497,0.734222,0.742000,0.272986,0.446713
6998,0.740852,0.800000,0.289354,0.458312
7499,0.737368,0.702000,0.300362,0.354151
7997,0.734167,0.700000,0.294171,0.240214
8498,0.738040,0.784000,0.291531,0.203540
8999,0.735790,0.706000,0.293038,0.315795
9497,0.736933,0.754000,0.294010,0.308056
9998,0.735033,0.708000,0.286802,0.174264
10499,0.736297,0.756000,0.288316,0.308061
10997,0.739111,0.786000,0.292689,0.373360
11498,0.739922,0.756000,0.294609,0.342318
11999,0.741552,0.774000,0.297061,0.349977
12497,0.743429,0.782000,0.302289,0.408688
12998,0.743478,0.744000,0.307365,0.390418
13499,0.741958,0.710000,0.308845,0.332019
13997,0.742000,0.744000,0.316568,0.438015
14498,0.742901,0.766000,0.320515,0.412178
14999,0.744885,0.796000,0.326660,0.478528
15497,0.744667,0.738000,0.333935,0.442781
15998,0.745018,0.756000,0.341553,0.478213
16499,0.745690,0.766000,0.347469,0.487202
16997,0.743200,0.668000,0.347947,0.331777
17498,0.741630,0.694000,0.346763,0.312520
17999,0.738970,0.656000,0.347584,0.300586
